minute_utc,region_code,region,node_key,node,node_type,interface_id,if_role,collector_port,protocol,src_addr,src_port,dst_addr,dst_port,packets,bytes,flow_record_count,first_seen,last_seen
2026-07-28 12:35:00,chengdu,ccf-aiops-成都,cr2,CR-2-ccf-aiops-成都,CR,ens5,\N,2056,6,fd00:4:30::2,9100,fd00:4:40::100,37066,20,79746,1,2026-07-28 12:34:36.466,2026-07-28 12:35:36.499
2026-07-28 12:35:00,chengdu,ccf-aiops-成都,cr2,CR-2-ccf-aiops-成都,CR,ens5,\N,2056,6,fd00:4:40::100,37066,fd00:4:30::2,9100,44,4393,1,2026-07-28 12:34:36.466,2026-07-28 12:35:36.499
2026-07-28 12:35:00,chengdu,ccf-aiops-成都,cr2,CR-2-ccf-aiops-成都,CR,ens5,\N,2056,89,fe80::4:30:2,0,ff02::5,0,7,560,1,2026-07-28 12:34:38.572,2026-07-28 12:35:38.574
2026-07-28 12:35:00,chengdu,ccf-aiops-成都,cr2,CR-2-ccf-aiops-成都,CR,ens5,\N,2056,89,fe80::4:30:1,0,ff02::5,0,7,560,1,2026-07-28 12:34:38.573,2026-07-28 12:35:38.575
2026-07-28 12:35:00,chengdu,ccf-aiops-成都,cr2,CR-2-ccf-aiops-成都,CR,ens5,\N,2056,6,fd00:4:20::2,9100,fd00:4:40::100,53398,31,64676,1,2026-07-28 12:34:42.702,2026-07-28 12:35:27.705
2026-07-28 12:35:00,chengdu,ccf-aiops-成都,cr2,CR-2-ccf-aiops-成都,CR,ens5,\N,2056,6,fd00:4:20::1,9100,fd00:4:40::100,50284,33,65030,1,2026-07-28 12:34:47.062,2026-07-28 12:35:32.087
2026-07-28 12:35:00,chengdu,ccf-aiops-成都,cr2,CR-2-ccf-aiops-成都,CR,ens5,\N,2056,6,fd00:4:40::100,50284,fd00:4:20::1,9100,35,3500,1,2026-07-28 12:34:47.062,2026-07-28 12:35:32.087
2026-07-28 12:35:00,chengdu,ccf-aiops-成都,br2,BR-2-ccf-aiops-成都,BR,ens5,\N,2062,58,fe80::4:20:11,0,fe80::4:20:2,0,4,272,2,2026-07-28 12:34:41.533,2026-07-28 12:35:31.116
2026-07-28 12:35:00,chengdu,ccf-aiops-成都,br2,BR-2-ccf-aiops-成都,BR,ens5,\N,2062,58,fe80::4:20:2,0,fe80::4:20:11,0,4,272,2,2026-07-28 12:34:41.533,2026-07-28 12:35:31.116
2026-07-28 12:35:00,chengdu,ccf-aiops-成都,br2,BR-2-ccf-aiops-成都,BR,ens5,\N,2062,6,fd00:4:20::2,9100,fd00:4:40::100,53398,25,79863,1,2026-07-28 12:34:42.739,2026-07-28 12:35:42.760
2026-07-28 12:35:00,chengdu,ccf-aiops-成都,br2,BR-2-ccf-aiops-成都,BR,ens5,\N,2062,6,fd00:4:40::100,53398,fd00:4:20::2,9100,41,4177,1,2026-07-28 12:34:42.739,2026-07-28 12:35:42.760
2026-07-28 12:35:00,chengdu,ccf-aiops-成都,br2,BR-2-ccf-aiops-成都,BR,ens5,\N,2062,58,fe80::4:20:12,0,fd00:4:20::2,0,3,216,1,2026-07-28 12:34:45.220,2026-07-28 12:35:45.124
2026-07-28 12:35:00,chengdu,ccf-aiops-成都,br2,BR-2-ccf-aiops-成都,BR,ens5,\N,2062,58,fd00:4:20::2,0,fe80::4:20:12,0,3,192,1,2026-07-28 12:34:45.220,2026-07-28 12:35:45.124
2026-07-28 12:35:00,chengdu,ccf-aiops-成都,br2,BR-2-ccf-aiops-成都,BR,ens5,\N,2062,58,fe80::4:20:11,0,fd00:4:20::2,0,2,144,1,2026-07-28 12:34:48.189,2026-07-28 12:35:30.173
2026-07-28 12:35:00,chengdu,ccf-aiops-成都,br2,BR-2-ccf-aiops-成都,BR,ens5,\N,2062,58,fd00:4:20::2,0,fe80::4:20:11,0,2,128,1,2026-07-28 12:34:48.189,2026-07-28 12:35:30.173
2026-07-28 12:35:00,chengdu,ccf-aiops-成都,br2,BR-2-ccf-aiops-成都,BR,ens5,\N,2062,89,fe80::4:20:1,0,ff02::5,0,6,528,1,2026-07-28 12:34:48.624,2026-07-28 12:35:38.626
2026-07-28 12:35:00,chengdu,ccf-aiops-成都,br2,BR-2-ccf-aiops-成都,BR,ens5,\N,2062,89,fe80::4:20:2,0,ff02::5,0,6,528,1,2026-07-28 12:34:48.624,2026-07-28 12:35:38.626
2026-07-28 12:35:00,chengdu,ccf-aiops-成都,br2,BR-2-ccf-aiops-成都,BR,ens5,\N,2062,89,fe80::4:20:12,0,ff02::5,0,6,528,1,2026-07-28 12:34:48.625,2026-07-28 12:35:38.626
2026-07-28 12:35:00,chengdu,ccf-aiops-成都,br2,BR-2-ccf-aiops-成都,BR,ens5,\N,2062,89,fe80::4:20:11,0,ff02::5,0,6,528,1,2026-07-28 12:34:48.625,2026-07-28 12:35:38.626
2026-07-28 12:35:00,chengdu,ccf-aiops-成都,cr1,CR-1-ccf-aiops-成都,CR,ens4,\N,2057,89,fe80::4:20:12,0,ff02::5,0,7,616,1,2026-07-28 12:34:38.187,2026-07-28 12:35:38.189
2026-07-28 12:35:00,chengdu,ccf-aiops-成都,cr1,CR-1-ccf-aiops-成都,CR,ens4,\N,2057,89,fe80::4:20:2,0,ff02::5,0,7,616,1,2026-07-28 12:34:38.188,2026-07-28 12:35:38.189
2026-07-28 12:35:00,chengdu,ccf-aiops-成都,cr1,CR-1-ccf-aiops-成都,CR,ens4,\N,2057,89,fe80::4:20:11,0,ff02::5,0,7,616,1,2026-07-28 12:34:38.188,2026-07-28 12:35:38.189
2026-07-28 12:35:00,chengdu,ccf-aiops-成都,cr1,CR-1-ccf-aiops-成都,CR,ens4,\N,2057,89,fe80::4:20:1,0,ff02::5,0,7,616,1,2026-07-28 12:34:38.188,2026-07-28 12:35:38.189
