id,timestamp_utc,prometheus_sample_time_utc,series_key,flow_type,source_region,source_ip,target_region,target_domain,protocol,dns_flow_active,dns_flow_batch_concurrency,dns_flow_batches_started_total,dns_flow_batches_completed_total,dns_flow_batches_failed_total,dns_flow_batches_timeout_total,dns_flow_requests_total,dns_flow_success_total,dns_flow_error_total,dns_flow_bytes_sent_total,dns_flow_bytes_received_total,dns_flow_duration_seconds_sum,dns_flow_active_seconds_total,dns_flow_duration_seconds_count,dns_flow_batch_duration_seconds,dns_flow_last_batch_timestamp_seconds,dns_flow_observed_qps,dns_flow_latency_mean_seconds,dns_flow_latency_p95_seconds,dns_flow_request_latency_seconds_bucket_le_0_01,dns_flow_request_latency_seconds_bucket_le_0_025,dns_flow_request_latency_seconds_bucket_le_0_05,dns_flow_request_latency_seconds_bucket_le_0_1,dns_flow_request_latency_seconds_bucket_le_0_25,dns_flow_request_latency_seconds_bucket_le_0_5,dns_flow_request_latency_seconds_bucket_le_1,dns_flow_request_latency_seconds_bucket_le_2_5,dns_flow_request_latency_seconds_bucket_le_5,dns_flow_request_latency_seconds_bucket_le_plus_inf,dns_flow_request_latency_seconds_sum,dns_flow_request_latency_seconds_count,web_flow_active,web_flow_batch_concurrency,web_flow_batches_started_total,web_flow_batches_completed_total,web_flow_batches_failed_total,web_flow_batches_timeout_total,web_flow_requests_total,web_flow_success_total,web_flow_error_total,web_flow_bytes_sent_total,web_flow_bytes_received_total,web_flow_duration_seconds_sum,web_flow_active_seconds_total,web_flow_duration_seconds_count,web_flow_batch_duration_seconds,web_flow_last_batch_timestamp_seconds,web_flow_observed_qps,web_flow_latency_mean_seconds,web_flow_latency_p95_seconds,web_flow_request_latency_seconds_bucket_le_0_01,web_flow_request_latency_seconds_bucket_le_0_025,web_flow_request_latency_seconds_bucket_le_0_05,web_flow_request_latency_seconds_bucket_le_0_1,web_flow_request_latency_seconds_bucket_le_0_25,web_flow_request_latency_seconds_bucket_le_0_5,web_flow_request_latency_seconds_bucket_le_1,web_flow_request_latency_seconds_bucket_le_2_5,web_flow_request_latency_seconds_bucket_le_5,web_flow_request_latency_seconds_bucket_le_plus_inf,web_flow_request_latency_seconds_sum,web_flow_request_latency_seconds_count,auth_flow_active,auth_flow_batch_concurrency,auth_flow_batches_started_total,auth_flow_batches_completed_total,auth_flow_batches_failed_total,auth_flow_batches_timeout_total,auth_flow_requests_total,auth_flow_success_total,auth_flow_error_total,auth_flow_bytes_sent_total,auth_flow_bytes_received_total,auth_flow_duration_seconds_sum,auth_flow_active_seconds_total,auth_flow_duration_seconds_count,auth_flow_batch_duration_seconds,auth_flow_last_batch_timestamp_seconds,auth_flow_observed_qps,auth_flow_latency_mean_seconds,auth_flow_latency_p95_seconds,auth_flow_request_latency_seconds_bucket_le_0_01,auth_flow_request_latency_seconds_bucket_le_0_025,auth_flow_request_latency_seconds_bucket_le_0_05,auth_flow_request_latency_seconds_bucket_le_0_1,auth_flow_request_latency_seconds_bucket_le_0_25,auth_flow_request_latency_seconds_bucket_le_0_5,auth_flow_request_latency_seconds_bucket_le_1,auth_flow_request_latency_seconds_bucket_le_2_5,auth_flow_request_latency_seconds_bucket_le_5,auth_flow_request_latency_seconds_bucket_le_plus_inf,auth_flow_request_latency_seconds_sum,auth_flow_request_latency_seconds_count,elephant_flow_active,elephant_flow_batch_concurrency,elephant_flow_batches_started_total,elephant_flow_batches_completed_total,elephant_flow_batches_failed_total,elephant_flow_batches_timeout_total,elephant_flow_requests_total,elephant_flow_success_total,elephant_flow_error_total,elephant_flow_bytes_sent_total,elephant_flow_bytes_received_total,elephant_flow_duration_seconds_sum,elephant_flow_active_seconds_total,elephant_flow_duration_seconds_count,elephant_flow_batch_duration_seconds,elephant_flow_last_batch_timestamp_seconds,elephant_flow_observed_qps,elephant_flow_latency_mean_seconds,elephant_flow_latency_p95_seconds,elephant_flow_throughput_bps,elephant_flow_retransmits_total,elephant_flow_loss_rate,elephant_flow_jitter_seconds
4890,2026-07-28 12:35:00,2026-07-28 12:35:05,4008dbc3e7c8aa55208aa2a159e14b40806bdd17570770111e38f4f17f40aa96,auth,chengdu,fd00:4:40::10,wuhan,auth01.wuhan.aiops.local,http,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,0,1067,1061,6,6,24683,24605,78,4867505,5165525,21270.88454172993,21270.552489257883,1067,10.095473722089082,1785242075.3986535,1,0.07489212239161133,0.07553683982696385,0,0,0,22532,22533,24604,24604,24605,24605,24605,2333.6794369821437,24605,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
4891,2026-07-28 12:35:00,2026-07-28 12:35:05,7188e8a9e8c4a09af2b2ee7476e0631144049b825a5fda862e4a514dc0495196,dns,chengdu,fd00:4:40::10,beida,dns.beida.aiops.local,udp,0,0,2662,2662,0,0,143364,143282,82,6776775,10788671,53387.46026875265,53386.872280757874,2662,30.051111517008394,1785242077.1602263,1,0.04336297155047456,0.044019714440219106,0,0,142971,143260,143262,143269,143270,143282,143282,143282,6282.303987542167,143282,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
4892,2026-07-28 12:35:00,2026-07-28 12:35:05,ad40031027885ba894525ce296cf14c61ffe60cdaa83031e557f0f55bb921d3f,web,chengdu,fd00:4:40::10,shanghai,web01.shanghai.aiops.local,http,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,1,1548,1546,1,0,128764,128763,0,13408685,35686105,54820.84205862926,54822.58778665122,1547,30.096434582024813,1785242075.0775173,1.831315120867684,0.08102906495332718,0.08102906495332718,0,0,0,115759,115759,128738,128739,128763,128763,128763,13700.667493626941,128763,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
4893,2026-07-28 12:36:00,2026-07-28 12:36:05,4008dbc3e7c8aa55208aa2a159e14b40806bdd17570770111e38f4f17f40aa96,auth,chengdu,fd00:4:40::10,wuhan,auth01.wuhan.aiops.local,http,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,0,1068,1062,6,6,24688,24610,78,4868455,5166565,21280.97989433678,21280.647682737093,1068,10.095352606847882,1785242133.6586857,0.5,0.07440519528463482,0.07470857882872224,0,0,0,22537,22538,24609,24609,24610,24610,24610,2334.051462958567,24610,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
4894,2026-07-28 12:36:00,2026-07-28 12:36:05,7188e8a9e8c4a09af2b2ee7476e0631144049b825a5fda862e4a514dc0495196,dns,chengdu,fd00:4:40::10,beida,dns.beida.aiops.local,udp,0,0,2663,2663,0,0,143414,143332,82,6779140,10792436,53397.5122832628,53396.924041869584,2663,10.052014510147274,1785242151.2147675,5,0.04370009731501341,0.044405288598500195,0,0,143021,143310,143312,143319,143320,143332,143332,143332,6284.488992407918,143332,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
4895,2026-07-28 12:36:00,2026-07-28 12:36:05,ad40031027885ba894525ce296cf14c61ffe60cdaa83031e557f0f55bb921d3f,web,chengdu,fd00:4:40::10,shanghai,web01.shanghai.aiops.local,http,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,0,1548,1547,1,0,128822,128822,0,13414762,35702330,54880.939019972924,54880.4962100368,1548,60.09696134366095,1785242149.8248415,1,0.08143919590705385,0.08234606746118515,0,0,0,115818,115818,128797,128798,128822,128822,128822,13705.47281631641,128822,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
4896,2026-07-28 12:37:00,2026-07-28 12:37:05,4008dbc3e7c8aa55208aa2a159e14b40806bdd17570770111e38f4f17f40aa96,auth,chengdu,fd00:4:40::10,wuhan,auth01.wuhan.aiops.local,http,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,4,1070,1063,6,6,24693,24615,78,4869430,5167540,21291.076342397835,21290.743966031354,1069,10.096448061056435,1785242173.8649068,0.5,0.0746798723936081,0.07546687424182892,0,0,0,22542,22543,24614,24614,24615,24615,24615,2334.424862320535,24615,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
4897,2026-07-28 12:37:00,2026-07-28 12:37:05,7188e8a9e8c4a09af2b2ee7476e0631144049b825a5fda862e4a514dc0495196,dns,chengdu,fd00:4:40::10,beida,dns.beida.aiops.local,udp,0,0,2666,2666,0,0,143534,143452,82,6784782,10801438,53427.66670272872,53427.07787008537,2666,10.051450237631798,1785242211.413344,5,0.043658213280141356,0.044281699368730186,0,0,143141,143430,143432,143439,143440,143452,143452,143452,6289.729436195921,143452,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
4898,2026-07-28 12:37:00,2026-07-28 12:37:05,ad40031027885ba894525ce296cf14c61ffe60cdaa83031e557f0f55bb921d3f,web,chengdu,fd00:4:40::10,shanghai,web01.shanghai.aiops.local,http,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,0,1549,1548,1,0,128882,128882,0,13420642,35719010,54911.03557601385,54910.59256345453,1549,30.096556040924042,1785242198.963739,2,0.12261587313842029,0.326024979702197,0,0,0,115868,115868,128857,128858,128882,128882,128882,13712.829768704716,128882,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
4899,2026-07-28 12:38:00,2026-07-28 12:38:05,4008dbc3e7c8aa55208aa2a159e14b40806bdd17570770111e38f4f17f40aa96,auth,chengdu,fd00:4:40::10,wuhan,auth01.wuhan.aiops.local,http,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,0,1070,1064,6,6,24753,24675,78,4881370,5179900,21321.17155830469,21320.839026004076,1070,30.09521590685472,1785242243.5051854,2,0.11425727872022738,0.3053036457160488,0,0,0,22592,22593,24674,24674,24675,24675,24675,2341.2802990437485,24675,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
4900,2026-07-28 12:38:00,2026-07-28 12:38:05,7188e8a9e8c4a09af2b2ee7476e0631144049b825a5fda862e4a514dc0495196,dns,chengdu,fd00:4:40::10,beida,dns.beida.aiops.local,udp,1,2,2668,2667,0,0,143598,143516,82,6787800,10806248,53447.71845421102,53470.10374785261,2667,20.05175148230046,1785242245.1958869,2.007056827731181,0.04376291359817101,0.044103928841650486,0,0,143205,143494,143496,143503,143504,143516,143516,143516,6292.530894999858,143516,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
4901,2026-07-28 12:38:00,2026-07-28 12:38:05,ad40031027885ba894525ce296cf14c61ffe60cdaa83031e557f0f55bb921d3f,web,chengdu,fd00:4:40::10,shanghai,web01.shanghai.aiops.local,http,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,0,1550,1549,1,0,128897,128897,0,13422247,35723195,54926.13058783859,54925.68735191086,1550,15.09501182474196,1785242251.349997,1,0.08109576109175881,0.0815394468139857,0,0,0,115883,115883,128872,128873,128897,128897,128897,13714.046205121092,128897,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
