id,timestamp_utc,prometheus_sample_time_utc,series_key,flow_type,source_region,source_ip,target_region,target_domain,protocol,dns_flow_active,dns_flow_batch_concurrency,dns_flow_batches_started_total,dns_flow_batches_completed_total,dns_flow_batches_failed_total,dns_flow_batches_timeout_total,dns_flow_requests_total,dns_flow_success_total,dns_flow_error_total,dns_flow_bytes_sent_total,dns_flow_bytes_received_total,dns_flow_duration_seconds_sum,dns_flow_active_seconds_total,dns_flow_duration_seconds_count,dns_flow_batch_duration_seconds,dns_flow_last_batch_timestamp_seconds,dns_flow_observed_qps,dns_flow_latency_mean_seconds,dns_flow_latency_p95_seconds,dns_flow_request_latency_seconds_bucket_le_0_01,dns_flow_request_latency_seconds_bucket_le_0_025,dns_flow_request_latency_seconds_bucket_le_0_05,dns_flow_request_latency_seconds_bucket_le_0_1,dns_flow_request_latency_seconds_bucket_le_0_25,dns_flow_request_latency_seconds_bucket_le_0_5,dns_flow_request_latency_seconds_bucket_le_1,dns_flow_request_latency_seconds_bucket_le_2_5,dns_flow_request_latency_seconds_bucket_le_5,dns_flow_request_latency_seconds_bucket_le_plus_inf,dns_flow_request_latency_seconds_sum,dns_flow_request_latency_seconds_count,web_flow_active,web_flow_batch_concurrency,web_flow_batches_started_total,web_flow_batches_completed_total,web_flow_batches_failed_total,web_flow_batches_timeout_total,web_flow_requests_total,web_flow_success_total,web_flow_error_total,web_flow_bytes_sent_total,web_flow_bytes_received_total,web_flow_duration_seconds_sum,web_flow_active_seconds_total,web_flow_duration_seconds_count,web_flow_batch_duration_seconds,web_flow_last_batch_timestamp_seconds,web_flow_observed_qps,web_flow_latency_mean_seconds,web_flow_latency_p95_seconds,web_flow_request_latency_seconds_bucket_le_0_01,web_flow_request_latency_seconds_bucket_le_0_025,web_flow_request_latency_seconds_bucket_le_0_05,web_flow_request_latency_seconds_bucket_le_0_1,web_flow_request_latency_seconds_bucket_le_0_25,web_flow_request_latency_seconds_bucket_le_0_5,web_flow_request_latency_seconds_bucket_le_1,web_flow_request_latency_seconds_bucket_le_2_5,web_flow_request_latency_seconds_bucket_le_5,web_flow_request_latency_seconds_bucket_le_plus_inf,web_flow_request_latency_seconds_sum,web_flow_request_latency_seconds_count,auth_flow_active,auth_flow_batch_concurrency,auth_flow_batches_started_total,auth_flow_batches_completed_total,auth_flow_batches_failed_total,auth_flow_batches_timeout_total,auth_flow_requests_total,auth_flow_success_total,auth_flow_error_total,auth_flow_bytes_sent_total,auth_flow_bytes_received_total,auth_flow_duration_seconds_sum,auth_flow_active_seconds_total,auth_flow_duration_seconds_count,auth_flow_batch_duration_seconds,auth_flow_last_batch_timestamp_seconds,auth_flow_observed_qps,auth_flow_latency_mean_seconds,auth_flow_latency_p95_seconds,auth_flow_request_latency_seconds_bucket_le_0_01,auth_flow_request_latency_seconds_bucket_le_0_025,auth_flow_request_latency_seconds_bucket_le_0_05,auth_flow_request_latency_seconds_bucket_le_0_1,auth_flow_request_latency_seconds_bucket_le_0_25,auth_flow_request_latency_seconds_bucket_le_0_5,auth_flow_request_latency_seconds_bucket_le_1,auth_flow_request_latency_seconds_bucket_le_2_5,auth_flow_request_latency_seconds_bucket_le_5,auth_flow_request_latency_seconds_bucket_le_plus_inf,auth_flow_request_latency_seconds_sum,auth_flow_request_latency_seconds_count,elephant_flow_active,elephant_flow_batch_concurrency,elephant_flow_batches_started_total,elephant_flow_batches_completed_total,elephant_flow_batches_failed_total,elephant_flow_batches_timeout_total,elephant_flow_requests_total,elephant_flow_success_total,elephant_flow_error_total,elephant_flow_bytes_sent_total,elephant_flow_bytes_received_total,elephant_flow_duration_seconds_sum,elephant_flow_active_seconds_total,elephant_flow_duration_seconds_count,elephant_flow_batch_duration_seconds,elephant_flow_last_batch_timestamp_seconds,elephant_flow_observed_qps,elephant_flow_latency_mean_seconds,elephant_flow_latency_p95_seconds,elephant_flow_throughput_bps,elephant_flow_retransmits_total,elephant_flow_loss_rate,elephant_flow_jitter_seconds
4734,2026-07-28 12:35:00,2026-07-28 12:35:05,6cc94f04fe3ed708353b0012847bf228a701cdf0caa681c9f88a18f7943a9541,auth,nanjing,fd00:7:40::10,wuhan,auth01.wuhan.aiops.local,http,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,2,1042,1036,5,5,23965,23925,40,4731815,5016615,20673.275973137468,20673.871643091086,1041,30.084426851011813,1785241999.4821768,0.5,0.03366958958407243,0.03388724462129176,0,0,22253,22256,23372,23735,23867,23925,23925,23925,1322.6589895375073,23925,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
4735,2026-07-28 12:35:00,2026-07-28 12:35:05,f75c0e885f2f2632927d08dae63f58d76ad71e3678eac43a19752a4fb4cfd9d8,dns,nanjing,fd00:7:40::10,beida,dns.beida.aiops.local,udp,1,2,2658,2657,0,0,141690,141608,82,6698427,10663451,53321.06122441497,53327.29340068344,2657,10.051693857181817,1785242068.7201545,2.2288000531163163,0.032494891967092245,0.034015163662843406,0,0,140402,140419,140597,141549,141575,141595,141608,141608,5001.334641237743,141608,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
4736,2026-07-28 12:35:00,2026-07-28 12:35:05,3b255c334450d1338c5d2643b90458556c2b20fab2c2a7f73efe7ea844c799da,web,nanjing,fd00:7:40::10,shanghai,web01.shanghai.aiops.local,http,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,0,1531,1530,1,1,123983,123927,56,12897437,34348361,54574.029330298305,54573.65835165698,1531,30.085147293750197,1785242091.3529894,1,0.014654816314578056,0.015152280847541987,0,114151,114164,114164,123104,123208,123927,123927,123927,123927,4243.870313575491,123927,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
4737,2026-07-28 12:36:00,2026-07-28 12:36:05,6cc94f04fe3ed708353b0012847bf228a701cdf0caa681c9f88a18f7943a9541,auth,nanjing,fd00:7:40::10,wuhan,auth01.wuhan.aiops.local,http,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,0,1042,1037,5,5,23975,23935,40,4733715,5018695,20683.36172319716,20682.95634631999,1042,10.085750059690326,1785242101.9746113,1,0.03481626524589956,0.03521293092053383,0,0,22263,22266,23382,23745,23877,23935,23935,23935,1323.0071521899663,23935,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
4738,2026-07-28 12:36:00,2026-07-28 12:36:05,f75c0e885f2f2632927d08dae63f58d76ad71e3678eac43a19752a4fb4cfd9d8,dns,nanjing,fd00:7:40::10,beida,dns.beida.aiops.local,udp,0,0,2659,2659,0,0,141756,141674,82,6701538,10668410,53371.16409254167,53370.06341281021,2659,20.050909329671413,1785242141.2449763,1,0.03260734884534031,0.03422206400427967,0,0,140468,140485,140663,141615,141641,141661,141674,141674,5003.47835612623,141674,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
4739,2026-07-28 12:36:00,2026-07-28 12:36:05,3b255c334450d1338c5d2643b90458556c2b20fab2c2a7f73efe7ea844c799da,web,nanjing,fd00:7:40::10,shanghai,web01.shanghai.aiops.local,http,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,0,1532,1531,1,1,124103,124047,56,12910037,34381601,54604.1136383554,54603.742432175204,1532,30.08430805709213,1785242144.284914,4,0.02737459361863633,0.22145930640399453,0,114264,114277,114277,123224,123328,124047,124047,124047,124047,4247.155264809728,124047,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
4740,2026-07-28 12:37:00,2026-07-28 12:37:05,6cc94f04fe3ed708353b0012847bf228a701cdf0caa681c9f88a18f7943a9541,auth,nanjing,fd00:7:40::10,wuhan,auth01.wuhan.aiops.local,http,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,0,1043,1038,5,5,23980,23940,40,4734690,5019670,20693.448046041187,20693.0424995441,1043,10.086322844028473,1785242172.231788,0.5,0.033524129167199136,0.034079786483198406,0,0,22268,22271,23387,23750,23882,23940,23940,23940,1323.1747728358023,23940,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
4741,2026-07-28 12:37:00,2026-07-28 12:37:05,f75c0e885f2f2632927d08dae63f58d76ad71e3678eac43a19752a4fb4cfd9d8,dns,nanjing,fd00:7:40::10,beida,dns.beida.aiops.local,udp,1,1,2662,2661,0,0,141848,141766,82,6705915,10675363,53401.26777600264,53403.25851513259,2661,10.052132498007268,1785242204.398166,0.9799219537897936,0.033322440227493644,0.03345726754050702,0,0,140560,140577,140755,141707,141733,141753,141766,141766,5006.471442006994,141766,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
4742,2026-07-28 12:38:00,2026-07-28 12:38:05,6cc94f04fe3ed708353b0012847bf228a701cdf0caa681c9f88a18f7943a9541,auth,nanjing,fd00:7:40::10,wuhan,auth01.wuhan.aiops.local,http,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,2,1044,1038,5,5,23986,23946,40,4735908,5021050,20693.448046041187,20699.287438717205,1043,10.086322844028473,1785242172.231788,1.4683633875316917,0.07042930601164699,0.19459532701876014,0,0,22273,22276,23393,23756,23888,23946,23946,23946,1323.5973486718722,23946,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
4743,2026-07-28 12:38:00,2026-07-28 12:38:05,f75c0e885f2f2632927d08dae63f58d76ad71e3678eac43a19752a4fb4cfd9d8,dns,nanjing,fd00:7:40::10,beida,dns.beida.aiops.local,udp,1,2,2663,2662,0,0,141860,141778,82,6706485,10676269,53411.31962197181,53413.29705515737,2662,10.051845969166607,1785242219.551564,1.9727884189149452,0.03328509198036045,0.03380819677840918,0,0,140572,140589,140767,141719,141745,141765,141778,141778,5006.867147287354,141778,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
