id,timestamp_utc,prometheus_sample_time_utc,series_key,flow_type,source_region,source_ip,target_region,target_domain,protocol,dns_flow_active,dns_flow_batch_concurrency,dns_flow_batches_started_total,dns_flow_batches_completed_total,dns_flow_batches_failed_total,dns_flow_batches_timeout_total,dns_flow_requests_total,dns_flow_success_total,dns_flow_error_total,dns_flow_bytes_sent_total,dns_flow_bytes_received_total,dns_flow_duration_seconds_sum,dns_flow_active_seconds_total,dns_flow_duration_seconds_count,dns_flow_batch_duration_seconds,dns_flow_last_batch_timestamp_seconds,dns_flow_observed_qps,dns_flow_latency_mean_seconds,dns_flow_latency_p95_seconds,dns_flow_request_latency_seconds_bucket_le_0_01,dns_flow_request_latency_seconds_bucket_le_0_025,dns_flow_request_latency_seconds_bucket_le_0_05,dns_flow_request_latency_seconds_bucket_le_0_1,dns_flow_request_latency_seconds_bucket_le_0_25,dns_flow_request_latency_seconds_bucket_le_0_5,dns_flow_request_latency_seconds_bucket_le_1,dns_flow_request_latency_seconds_bucket_le_2_5,dns_flow_request_latency_seconds_bucket_le_5,dns_flow_request_latency_seconds_bucket_le_plus_inf,dns_flow_request_latency_seconds_sum,dns_flow_request_latency_seconds_count,web_flow_active,web_flow_batch_concurrency,web_flow_batches_started_total,web_flow_batches_completed_total,web_flow_batches_failed_total,web_flow_batches_timeout_total,web_flow_requests_total,web_flow_success_total,web_flow_error_total,web_flow_bytes_sent_total,web_flow_bytes_received_total,web_flow_duration_seconds_sum,web_flow_active_seconds_total,web_flow_duration_seconds_count,web_flow_batch_duration_seconds,web_flow_last_batch_timestamp_seconds,web_flow_observed_qps,web_flow_latency_mean_seconds,web_flow_latency_p95_seconds,web_flow_request_latency_seconds_bucket_le_0_01,web_flow_request_latency_seconds_bucket_le_0_025,web_flow_request_latency_seconds_bucket_le_0_05,web_flow_request_latency_seconds_bucket_le_0_1,web_flow_request_latency_seconds_bucket_le_0_25,web_flow_request_latency_seconds_bucket_le_0_5,web_flow_request_latency_seconds_bucket_le_1,web_flow_request_latency_seconds_bucket_le_2_5,web_flow_request_latency_seconds_bucket_le_5,web_flow_request_latency_seconds_bucket_le_plus_inf,web_flow_request_latency_seconds_sum,web_flow_request_latency_seconds_count,auth_flow_active,auth_flow_batch_concurrency,auth_flow_batches_started_total,auth_flow_batches_completed_total,auth_flow_batches_failed_total,auth_flow_batches_timeout_total,auth_flow_requests_total,auth_flow_success_total,auth_flow_error_total,auth_flow_bytes_sent_total,auth_flow_bytes_received_total,auth_flow_duration_seconds_sum,auth_flow_active_seconds_total,auth_flow_duration_seconds_count,auth_flow_batch_duration_seconds,auth_flow_last_batch_timestamp_seconds,auth_flow_observed_qps,auth_flow_latency_mean_seconds,auth_flow_latency_p95_seconds,auth_flow_request_latency_seconds_bucket_le_0_01,auth_flow_request_latency_seconds_bucket_le_0_025,auth_flow_request_latency_seconds_bucket_le_0_05,auth_flow_request_latency_seconds_bucket_le_0_1,auth_flow_request_latency_seconds_bucket_le_0_25,auth_flow_request_latency_seconds_bucket_le_0_5,auth_flow_request_latency_seconds_bucket_le_1,auth_flow_request_latency_seconds_bucket_le_2_5,auth_flow_request_latency_seconds_bucket_le_5,auth_flow_request_latency_seconds_bucket_le_plus_inf,auth_flow_request_latency_seconds_sum,auth_flow_request_latency_seconds_count,elephant_flow_active,elephant_flow_batch_concurrency,elephant_flow_batches_started_total,elephant_flow_batches_completed_total,elephant_flow_batches_failed_total,elephant_flow_batches_timeout_total,elephant_flow_requests_total,elephant_flow_success_total,elephant_flow_error_total,elephant_flow_bytes_sent_total,elephant_flow_bytes_received_total,elephant_flow_duration_seconds_sum,elephant_flow_active_seconds_total,elephant_flow_duration_seconds_count,elephant_flow_batch_duration_seconds,elephant_flow_last_batch_timestamp_seconds,elephant_flow_observed_qps,elephant_flow_latency_mean_seconds,elephant_flow_latency_p95_seconds,elephant_flow_throughput_bps,elephant_flow_retransmits_total,elephant_flow_loss_rate,elephant_flow_jitter_seconds
4831,2026-07-28 12:35:00,2026-07-28 12:35:05,82387ccbd3a90714b0714837d4ca6d8212d29fe25a7c0bd91af830bebc20227e,auth,wuhan,fd00:5:40::10,wuhan,auth01.wuhan.aiops.local,http,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,0,1044,1040,4,0,24250,24250,0,4803075,5096860,20785.736750634853,20785.490408233833,1044,30.116914322134107,1785242075.7217052,0.5,0.0018387020255128542,0.002041688561439514,24249,24250,24250,24250,24250,24250,24250,24250,24250,24250,79.66851172177121,24250,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
4832,2026-07-28 12:35:00,2026-07-28 12:35:05,55dcb21fe91a52bb73aec0b53eaf883b282e0b47746e654e2e5908a591c6baf4,dns,wuhan,fd00:5:40::10,beida,dns.beida.aiops.local,udp,0,0,2626,2613,13,13,140757,140331,426,6638658,10567926,53952.4519527331,53951.83424567571,2626,30.050976232159883,1785242075.690447,1,0.020133912082140645,0.021062851417809725,0,140013,140293,140293,140298,140308,140310,140330,140331,140331,2856.588335503824,140331,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
4833,2026-07-28 12:35:00,2026-07-28 12:35:05,99209e5b1125550aa3101da5222463a7c360364c5f6ab9ec76a4719b450c9cff,web,wuhan,fd00:5:40::10,shanghai,web01.shanghai.aiops.local,http,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,0,1573,1562,11,0,129027,129027,0,13432141,35754369,55385.504837900866,55385.15752359107,1573,30.785641777794808,1785242082.833066,3.8666666666666667,0.05144667645498853,0.2528621657984331,0,0,117213,117215,117275,129027,129027,129027,129027,129027,7015.103610976599,129027,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
4834,2026-07-28 12:36:00,2026-07-28 12:36:05,55dcb21fe91a52bb73aec0b53eaf883b282e0b47746e654e2e5908a591c6baf4,dns,wuhan,fd00:5:40::10,beida,dns.beida.aiops.local,udp,1,5,2628,2614,13,13,140877,140451,426,6644333,10576961,53972.50338853989,53976.00736639835,2627,20.051435806788504,1785242131.1935403,6.512695349134338,0.02025102376937866,0.020670430967584252,0,140133,140413,140413,140418,140428,140430,140450,140451,140451,2858.999276138842,140451,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
4835,2026-07-28 12:36:00,2026-07-28 12:36:05,99209e5b1125550aa3101da5222463a7c360364c5f6ab9ec76a4719b450c9cff,web,wuhan,fd00:5:40::10,shanghai,web01.shanghai.aiops.local,http,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,1,1574,1562,11,0,129037,129037,0,13433201,35757149,55385.504837900866,55395.502296431456,1573,30.785641777794808,1785242082.833066,1.078340804326795,0.033954373886808754,0.034612974151968956,0,0,117223,117225,117285,129037,129037,129037,129037,129037,7015.443154715467,129037,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
4836,2026-07-28 12:37:00,2026-07-28 12:37:05,82387ccbd3a90714b0714837d4ca6d8212d29fe25a7c0bd91af830bebc20227e,auth,wuhan,fd00:5:40::10,wuhan,auth01.wuhan.aiops.local,http,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,0,1045,1041,4,0,24265,24265,0,4806000,5099785,20816.423347436823,20816.17687462177,1045,30.686596801970154,1785242196.616638,0.5,0.0020283965393900873,0.002416649926453828,24264,24265,24265,24265,24265,24265,24265,24265,24265,24265,79.69893766986206,24265,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
4837,2026-07-28 12:37:00,2026-07-28 12:37:05,55dcb21fe91a52bb73aec0b53eaf883b282e0b47746e654e2e5908a591c6baf4,dns,wuhan,fd00:5:40::10,beida,dns.beida.aiops.local,udp,0,0,2629,2616,13,13,140957,140531,426,6648128,10582996,53992.60616877489,53991.988053503446,2629,10.051479691173881,1785242205.2197325,5,0.02021421301178634,0.020991778839379548,0,140213,140493,140493,140498,140508,140510,140530,140531,140531,2860.619584517088,140531,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
4838,2026-07-28 12:37:00,2026-07-28 12:37:05,99209e5b1125550aa3101da5222463a7c360364c5f6ab9ec76a4719b450c9cff,web,wuhan,fd00:5:40::10,shanghai,web01.shanghai.aiops.local,http,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,0,1574,1563,11,0,129057,129057,0,13435321,35762709,55415.57640300179,55415.22895120224,1574,30.07156510092318,1785242172.265615,1,0.03390910968494912,0.03440573564730584,0,0,117243,117245,117305,129057,129057,129057,129057,129057,7016.120884267148,129057,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
4839,2026-07-28 12:38:00,2026-07-28 12:38:05,55dcb21fe91a52bb73aec0b53eaf883b282e0b47746e654e2e5908a591c6baf4,dns,wuhan,fd00:5:40::10,beida,dns.beida.aiops.local,udp,1,1,2630,2616,13,13,140962,140536,426,6648372,10583380,53992.60616877489,53999.24150472041,2629,10.051479691173881,1785242205.2197325,0.8061008095084674,0.019882075488567352,0.020624810457229616,0,140218,140498,140498,140503,140513,140515,140535,140536,140536,2860.7189948945306,140536,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
4840,2026-07-28 12:38:00,2026-07-28 12:38:05,99209e5b1125550aa3101da5222463a7c360364c5f6ab9ec76a4719b450c9cff,web,wuhan,fd00:5:40::10,shanghai,web01.shanghai.aiops.local,http,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,4,1576,1564,11,0,129169,129165,0,13446445,35792409,55430.648890128825,55444.8884355491,1575,15.072487127035856,1785242247.9419436,3.857552637342931,0.0805835986296491,0.2577297603711486,0,0,117337,117339,117399,129165,129165,129165,129165,129165,7022.945961361751,129165,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
