id,timestamp_utc,prometheus_sample_time_utc,series_key,flow_type,source_region,source_ip,target_region,target_domain,protocol,dns_flow_active,dns_flow_batch_concurrency,dns_flow_batches_started_total,dns_flow_batches_completed_total,dns_flow_batches_failed_total,dns_flow_batches_timeout_total,dns_flow_requests_total,dns_flow_success_total,dns_flow_error_total,dns_flow_bytes_sent_total,dns_flow_bytes_received_total,dns_flow_duration_seconds_sum,dns_flow_active_seconds_total,dns_flow_duration_seconds_count,dns_flow_batch_duration_seconds,dns_flow_last_batch_timestamp_seconds,dns_flow_observed_qps,dns_flow_latency_mean_seconds,dns_flow_latency_p95_seconds,dns_flow_request_latency_seconds_bucket_le_0_01,dns_flow_request_latency_seconds_bucket_le_0_025,dns_flow_request_latency_seconds_bucket_le_0_05,dns_flow_request_latency_seconds_bucket_le_0_1,dns_flow_request_latency_seconds_bucket_le_0_25,dns_flow_request_latency_seconds_bucket_le_0_5,dns_flow_request_latency_seconds_bucket_le_1,dns_flow_request_latency_seconds_bucket_le_2_5,dns_flow_request_latency_seconds_bucket_le_5,dns_flow_request_latency_seconds_bucket_le_plus_inf,dns_flow_request_latency_seconds_sum,dns_flow_request_latency_seconds_count,web_flow_active,web_flow_batch_concurrency,web_flow_batches_started_total,web_flow_batches_completed_total,web_flow_batches_failed_total,web_flow_batches_timeout_total,web_flow_requests_total,web_flow_success_total,web_flow_error_total,web_flow_bytes_sent_total,web_flow_bytes_received_total,web_flow_duration_seconds_sum,web_flow_active_seconds_total,web_flow_duration_seconds_count,web_flow_batch_duration_seconds,web_flow_last_batch_timestamp_seconds,web_flow_observed_qps,web_flow_latency_mean_seconds,web_flow_latency_p95_seconds,web_flow_request_latency_seconds_bucket_le_0_01,web_flow_request_latency_seconds_bucket_le_0_025,web_flow_request_latency_seconds_bucket_le_0_05,web_flow_request_latency_seconds_bucket_le_0_1,web_flow_request_latency_seconds_bucket_le_0_25,web_flow_request_latency_seconds_bucket_le_0_5,web_flow_request_latency_seconds_bucket_le_1,web_flow_request_latency_seconds_bucket_le_2_5,web_flow_request_latency_seconds_bucket_le_5,web_flow_request_latency_seconds_bucket_le_plus_inf,web_flow_request_latency_seconds_sum,web_flow_request_latency_seconds_count,auth_flow_active,auth_flow_batch_concurrency,auth_flow_batches_started_total,auth_flow_batches_completed_total,auth_flow_batches_failed_total,auth_flow_batches_timeout_total,auth_flow_requests_total,auth_flow_success_total,auth_flow_error_total,auth_flow_bytes_sent_total,auth_flow_bytes_received_total,auth_flow_duration_seconds_sum,auth_flow_active_seconds_total,auth_flow_duration_seconds_count,auth_flow_batch_duration_seconds,auth_flow_last_batch_timestamp_seconds,auth_flow_observed_qps,auth_flow_latency_mean_seconds,auth_flow_latency_p95_seconds,auth_flow_request_latency_seconds_bucket_le_0_01,auth_flow_request_latency_seconds_bucket_le_0_025,auth_flow_request_latency_seconds_bucket_le_0_05,auth_flow_request_latency_seconds_bucket_le_0_1,auth_flow_request_latency_seconds_bucket_le_0_25,auth_flow_request_latency_seconds_bucket_le_0_5,auth_flow_request_latency_seconds_bucket_le_1,auth_flow_request_latency_seconds_bucket_le_2_5,auth_flow_request_latency_seconds_bucket_le_5,auth_flow_request_latency_seconds_bucket_le_plus_inf,auth_flow_request_latency_seconds_sum,auth_flow_request_latency_seconds_count,elephant_flow_active,elephant_flow_batch_concurrency,elephant_flow_batches_started_total,elephant_flow_batches_completed_total,elephant_flow_batches_failed_total,elephant_flow_batches_timeout_total,elephant_flow_requests_total,elephant_flow_success_total,elephant_flow_error_total,elephant_flow_bytes_sent_total,elephant_flow_bytes_received_total,elephant_flow_duration_seconds_sum,elephant_flow_active_seconds_total,elephant_flow_duration_seconds_count,elephant_flow_batch_duration_seconds,elephant_flow_last_batch_timestamp_seconds,elephant_flow_observed_qps,elephant_flow_latency_mean_seconds,elephant_flow_latency_p95_seconds,elephant_flow_throughput_bps,elephant_flow_retransmits_total,elephant_flow_loss_rate,elephant_flow_jitter_seconds
5871,2026-07-28 17:28:00,2026-07-28 17:28:05,57431fe22c9253424940c7c94b4f56029e2f24fec10a111a85926be00fd1ff69,auth,beida,fd00:1:40::10,wuhan,auth01.wuhan.aiops.local,http,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,4,1260,1252,7,7,29240,29152,88,5765832,6096959,25201.871369085216,25226.147299296223,1259,20.289188810042106,1785259449.6479104,2.117197719541931,0.06638974833670848,0.06322939111851156,0,0,0,25928,26407,29152,29152,29152,29152,29152,2411.6788910481846,29152,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
5872,2026-07-28 17:28:00,2026-07-28 17:28:05,c7f75369274169ed168729c6df8c5715d95dd18755f7057c411d2fa261cd13ba,dns,beida,fd00:1:40::10,beida,dns.beida.aiops.local,udp,1,2,3175,3174,0,0,169700,169647,53,8025283,12775399,63905.63053563208,63910.96978033101,3174,20.0515435540583,1785259646.208637,2.2650868542493843,0.0005289187039514738,0.0008213975466787814,169605,169607,169607,169607,169613,169615,169630,169646,169647,169647,120.99965248658555,169647,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
5873,2026-07-28 17:28:00,2026-07-28 17:28:05,ddb3b8d99f6cca0352f4058cd8cd2100330bd28abb1c5c3aa1e047b68a733ae1,web,beida,fd00:1:40::10,shanghai,web01.shanghai.aiops.local,http,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,0,1902,1894,8,7,156465,156294,171,16258142,43317982,67045.52620514506,67044.86316117871,1902,30.05326487799175,1785259638.2474043,4,0.07710387363913469,0.27992773083387873,0,0,0,140395,140395,156289,156290,156292,156294,156294,12081.856132216286,156294,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
5874,2026-07-28 17:29:00,2026-07-28 17:29:05,57431fe22c9253424940c7c94b4f56029e2f24fec10a111a85926be00fd1ff69,auth,beida,fd00:1:40::10,wuhan,auth01.wuhan.aiops.local,http,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,0,1260,1253,7,7,29252,29164,88,5768268,6099719,25231.92391571711,25231.44524072623,1260,30.052546631894074,1785259685.547886,2,0.07279360808315687,0.07446279174182502,0,0,0,25938,26417,29164,29164,29164,29164,29164,2412.859799613012,29164,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
5875,2026-07-28 17:29:00,2026-07-28 17:29:05,c7f75369274169ed168729c6df8c5715d95dd18755f7057c411d2fa261cd13ba,dns,beida,fd00:1:40::10,beida,dns.beida.aiops.local,udp,0,0,3177,3177,0,0,169726,169673,53,8026505,12777349,63935.78778725007,63933.89536020497,3177,10.054263407015242,1785259719.1440363,1,0.0005561574595049024,0.0008247745339758693,169631,169633,169633,169633,169639,169641,169656,169672,169673,169673,121.01308067323407,169673,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
5876,2026-07-28 17:29:00,2026-07-28 17:29:05,ddb3b8d99f6cca0352f4058cd8cd2100330bd28abb1c5c3aa1e047b68a733ae1,web,beida,fd00:1:40::10,shanghai,web01.shanghai.aiops.local,http,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,2,1903,1894,8,7,156519,156348,171,16263704,43332832,67045.52620514506,67072.86628296279,1902,30.05326487799175,1785259638.2474043,2.0036663701784763,0.07892981421469746,0.2799560786399525,0,0,0,140443,140443,156343,156344,156346,156348,156348,12086.11834218388,156348,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
5877,2026-07-28 17:30:00,2026-07-28 17:30:05,57431fe22c9253424940c7c94b4f56029e2f24fec10a111a85926be00fd1ff69,auth,beida,fd00:1:40::10,wuhan,auth01.wuhan.aiops.local,http,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,0,1261,1254,7,7,29292,29204,88,5776348,6108119,25251.977399756142,25251.498608886264,1261,20.0534840390319,1785259798.002991,2,0.07746426750381943,0.27934961517457846,0,0,0,25975,26454,29204,29204,29204,29204,29204,2415.958370313165,29204,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
5878,2026-07-28 17:30:00,2026-07-28 17:30:05,c7f75369274169ed168729c6df8c5715d95dd18755f7057c411d2fa261cd13ba,dns,beida,fd00:1:40::10,beida,dns.beida.aiops.local,udp,1,2,3179,3178,0,0,169830,169777,53,8031432,12785188,63955.89134330809,63957.067266508006,3178,20.10355605802033,1785259791.5523746,1.9826998445494013,0.0005243020132184029,0.000588834349764511,169735,169737,169737,169737,169743,169745,169760,169776,169777,169777,121.07128799072234,169777,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
5879,2026-07-28 17:30:00,2026-07-28 17:30:05,ddb3b8d99f6cca0352f4058cd8cd2100330bd28abb1c5c3aa1e047b68a733ae1,web,beida,fd00:1:40::10,shanghai,web01.shanghai.aiops.local,http,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,0,1903,1895,8,7,156585,156414,171,16270502,43350982,67105.57854861207,67104.9153832838,1903,60.052343467017636,1785259771.8909478,2,0.07457612756891953,0.27934652245021424,0,0,0,140504,140504,156409,156410,156412,156414,156414,12090.805267524556,156414,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
5880,2026-07-28 17:31:00,2026-07-28 17:31:05,57431fe22c9253424940c7c94b4f56029e2f24fec10a111a85926be00fd1ff69,auth,beida,fd00:1:40::10,wuhan,auth01.wuhan.aiops.local,http,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,0,1262,1255,7,7,29332,29244,88,5784428,6116519,25272.02947723813,25271.550568948267,1262,20.052077481988817,1785259848.1136835,2,0.07262348176154773,0.07603452964685796,0,0,0,26013,26492,29244,29244,29244,29244,29244,2418.8633095836267,29244,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
5881,2026-07-28 17:31:00,2026-07-28 17:31:05,c7f75369274169ed168729c6df8c5715d95dd18755f7057c411d2fa261cd13ba,dns,beida,fd00:1:40::10,beida,dns.beida.aiops.local,udp,1,5,3181,3180,0,0,170041,169988,53,8041457,12801121,63985.99446185405,64003.920121026924,3180,20.051639723940752,1785259832.1683846,5.071339248283937,0.0006923378629021739,0.0011554214637726544,169946,169948,169948,169948,169954,169956,169971,169987,169988,169988,121.20111141825328,169988,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
5882,2026-07-28 17:31:00,2026-07-28 17:31:05,ddb3b8d99f6cca0352f4058cd8cd2100330bd28abb1c5c3aa1e047b68a733ae1,web,beida,fd00:1:40::10,shanghai,web01.shanghai.aiops.local,http,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,4,1904,1895,8,7,156661,156490,171,16278482,43372034,67105.57854861207,67124.71179872676,1903,60.052343467017636,1785259771.8909478,4.057072867023768,0.06865754371086184,0.27844784027547576,0,0,0,140575,140575,156485,156486,156488,156490,156490,12096.023240846582,156490,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
5883,2026-07-28 17:32:00,2026-07-28 17:32:05,c7f75369274169ed168729c6df8c5715d95dd18755f7057c411d2fa261cd13ba,dns,beida,fd00:1:40::10,beida,dns.beida.aiops.local,udp,0,0,3181,3181,0,0,170096,170043,53,8044047,12805251,64016.04646472604,64014.15346184687,3181,30.052002871991135,1785259871.0111883,5,0.0006951623549684882,0.001165980217047035,170001,170003,170003,170003,170009,170011,170026,170042,170043,170043,121.23961367452284,170043,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
5884,2026-07-28 17:32:00,2026-07-28 17:32:05,ddb3b8d99f6cca0352f4058cd8cd2100330bd28abb1c5c3aa1e047b68a733ae1,web,beida,fd00:1:40::10,shanghai,web01.shanghai.aiops.local,http,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,2,1905,1896,8,7,156841,156670,171,16297414,43421926,67165.66083315306,67173.22181826184,1904,60.08228454098571,1785259901.011277,2.2309688496105267,0.11108735710877227,0.28160146629670635,0,0,0,140734,140734,156665,156666,156668,156670,156670,12110.50168199197,156670,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
